#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|      60mil_xoroshiro128plus.txt|  4.49e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.00000412|   WEAK   
      rgb_lagged_sum|  21|   1000000|     100|0.13737900|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.65851711|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  24|   1000000|     100|0.00300940|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.16328092|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.07550226|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.01359974|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.60798166|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  30|   1000000|     100|0.62839465|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00076539|   WEAK   
      rgb_lagged_sum|  32|   1000000|     100|0.00120826|   WEAK   
     rgb_kstest_test|   0|     10000|    1000|0.25632878|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.01295594|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.79730866|  PASSED  
        dab_filltree|  32|  15000000|       1|0.80720319|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.92846431|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.85217662|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.99690251|   WEAK   
