1M,5M,10M
124598,600306,1189735
122293,591291,1177481
118643,592224,1177781
118373,592337,1193112
118307,591802,1180603
127290,592487,1186299
117931,593197,1182820
118124,592315,1193473
118434,593096,1183709
125975,590174,1186248
