1M,5M,10M
160474,835057,1624783
248834,1131458,2258111
214668,1194450,1965003
224313,987259,2107090
210448,943911,1802348
206598,932351,1930441
175090,1118356,2004102
164455,1119853,1788856
199922,1074991,1764478
183442,959490,1788516
