1M,5M,10M
296615,1500145,2849888
277597,1360345,2945960
279245,1440679,2867859
267660,1449583,2982794
262886,1492740,2950788
300452,1493592,2910227
276889,1435880,2910323
280677,1495747,2843604
253256,1464041,2831917
305065,1391284,2740047
