1M,5M,10M
227158,1039995,2047852
218337,1134470,2004051
206691,1037253,2065327
202328,1032729,1978779
210426,1006260,1975784
202481,1016578,2006683
208006,1040152,2007995
210415,1007950,1974043
232377,992699,1965756
200063,989502,1973458
