1M,5M,10M
195972,1061620,1919696
196341,959232,1871734
208531,932265,1851866
207648,951287,2112989
189957,935220,1850062
185772,1078404,1861950
189956,938833,1851567
205106,936761,1840517
202151,938422,1847956
197218,961599,1834780
