1M,5M,10M
136850,664535,1353167
137765,660521,1322921
132338,657403,1321076
131289,660819,1321804
131713,658823,1314568
131598,666909,1321085
131841,657637,1322240
132009,659821,1311343
132861,657910,1324755
139344,665169,1317732
