1M,5M,10M
288986,1414686,2818709
294548,1557568,2827975
271413,1443395,2977097
283757,1457702,2875705
269498,1403432,2828761
280763,1469644,2933138
277381,1427414,2799910
262880,1487337,2971748
265572,1423590,2872204
263830,1382062,2780953
