1M,5M,10M
315323,1475914,2986741
289841,1551151,3020594
292510,1522419,2996147
294102,1539083,3090114
295179,1459031,3182688
287200,1496867,2895628
284276,1604473,2951350
279438,1534493,2963603
291121,1469229,2919971
283869,1475613,2833896
