1M,5M,10M
198384,954107,1917318
237477,922029,1849997
191097,990908,1857837
184796,934006,1826809
194829,937551,1827727
188519,922385,1882237
198543,965124,1862954
198536,943433,1829285
231097,927159,1824142
196937,917427,1839153
