1M,5M,10M
131756,598627,1182322
122884,591814,1184315
117945,588030,1177878
118458,588581,1183092
118413,590916,1176391
123093,591877,1183633
125840,594645,1180516
118308,594319,1189688
118194,592060,1184433
123011,592441,1182700
