1M,5M,10M
287648,1432054,2758901
266864,1387463,2865716
273569,1465265,2826631
265510,1427770,2820221
258797,1402084,2948787
287720,1387346,2947379
258370,1420258,3032263
267358,1430458,2836564
262053,1442971,2811594
281232,1377654,2760364
