1M,5M,10M
270293,1277658,2764340
217027,1125190,2097817
233085,1177320,1915569
210822,1125871,1949526
239317,1080939,1825417
234427,1164888,1992866
213111,957933,1873724
187436,1243725,1830854
173992,898983,1909080
199423,949189,1823618
