1M,5M,10M
192341,948125,1893798
216809,966675,1904196
242807,967191,1858591
188485,933565,1848977
190034,938918,1889450
192652,931319,1871796
187684,932118,1982569
193763,931650,1851796
208522,930071,1857564
204481,928138,1849813
