1M,5M,10M
157813,971840,2304099
232211,1112411,2379638
236794,1217662,1915457
194901,1091440,1949454
227151,921001,1813173
198020,892732,2132498
191641,1230389,1856728
193392,989814,1752141
177682,1146441,1634702
169792,901391,1715277
