1M,5M,10M
127153,610060,1212640
122677,600094,1200699
124261,599425,1218529
120573,603784,1205528
120526,608112,1202249
125504,604737,1205809
120136,604471,1212919
125085,604882,1213545
120394,605041,1205337
128389,607054,1232107
